ts,open,high,low,close,volume
1741305600000,89899.6,91279.5,84594.7,86952.3,66685.996
1741320000000,86952.3,88595.9,86806.9,88324.2,12281.44
1741334400000,88324.2,89678.3,87957.4,88946.6,12494.35
1741348800000,88946.6,91119.0,87973.6,88439.9,56619.272
1741363200000,88439.9,89043.7,86530.4,87792.8,43390.444
1741377600000,87792.8,88500.0,85453.4,86758.5,40925.266
1741392000000,86758.5,86886.3,85185.9,85869.9,11494.048
1741406400000,85869.9,86620.0,85617.7,86165.6,6417.254
1741420800000,86165.6,86427.2,85719.0,85923.9,5994.175
1741435200000,85923.9,86602.7,85775.0,86363.9,6122.72
1741449600000,86363.9,86491.0,85615.3,86189.9,7454.468
1741464000000,86189.9,86475.0,85813.3,86187.2,4269.263
1741478400000,86187.2,86485.0,85910.0,86080.0,3400.931
1741492800000,86080.0,86142.5,85760.0,85971.6,3698.916
1741507200000,85971.6,86066.8,84584.3,84954.3,15971.914
1741521600000,84954.3,84997.7,82700.0,83037.3,27880.12
1741536000000,83037.3,83723.7,82151.4,82545.7,28622.261
1741550400000,82545.7,83461.2,79913.4,80692.3,31878.72
1741564800000,80692.3,82675.0,79947.0,81994.3,26065.406
1741579200000,81994.3,82739.3,81923.3,82272.0,8590.006
1741593600000,82272.0,84050.0,81085.4,83541.9,38691.869
1741608000000,83541.9,83743.8,79120.0,80011.0,60811.809
1741622400000,80011.0,80212.0,77403.1,79019.5,48703.226
1741636800000,79019.5,79860.6,78358.1,78563.2,18773.858
1741651200000,78563.2,79936.7,76545.0,79486.6,33355.361
1741665600000,79486.6,80579.4,79406.1,80391.6,14293.092
1741680000000,80391.6,82081.9,80282.8,81685.3,21029.072
1741694400000,81685.3,82257.4,79000.0,81180.4,66129.363
1741708800000,81180.4,83622.9,80609.4,83082.7,36721.429
1741723200000,83082.7,83273.8,82518.8,82889.2,9580.23
1741737600000,82889.2,83738.0,82076.1,82098.2,14233.661
1741752000000,82098.2,82538.2,81245.1,82423.7,16575.057
1741766400000,82423.7,83082.1,82032.4,82989.9,18504.306
1741780800000,82989.9,84489.8,80534.6,81646.6,63428.957
1741795200000,81646.6,83120.0,81528.3,82868.8,24881.212
1741809600000,82868.8,83862.1,82652.0,83649.9,9122.299
1741824000000,83649.9,84343.2,83282.0,83550.0,11247.355
1741838400000,83550.0,83677.9,82811.1,83128.2,9805.245
1741852800000,83128.2,83485.5,82357.7,82924.3,13490.923
1741867200000,82924.3,83838.0,80905.2,80999.9,37004.902
1741881600000,80999.9,81200.0,79888.0,80170.8,28726.353
1741896000000,80170.8,81428.2,80156.1,81072.3,10571.595
1741910400000,81072.3,82218.4,80766.6,81854.0,12118.418
1741924800000,81854.0,82422.0,81743.3,82141.6,7139.135
1741939200000,82141.6,83317.4,82139.4,83220.1,12292.77
1741953600000,83220.1,85299.9,82585.4,84714.7,41257.305
1741968000000,84714.7,84943.1,83914.2,84520.0,20089.211
1741982400000,84520.0,84527.4,83702.0,83948.3,9915.001
1741996800000,83948.3,84661.8,83936.3,84459.8,6625.053
1742011200000,84459.8,84545.0,83780.5,83811.9,5852.794
1742025600000,83811.9,84144.2,83591.8,84055.1,6928.004
1742040000000,84055.1,84429.8,83972.3,84299.5,5860.527
1742054400000,84299.5,84457.2,84061.1,84260.0,3722.681
1742068800000,84260.0,84442.0,84200.9,84308.4,2611.954
1742083200000,84308.4,84352.5,83718.9,84293.9,5821.688
1742097600000,84293.9,84380.0,83928.4,84235.8,3866.198
1742112000000,84235.8,84295.5,82309.1,82346.6,17387.437
1742126400000,82346.6,83466.4,82338.0,83273.5,15264.634
1742140800000,83273.5,85136.0,82500.1,83066.1,29711.718
1742155200000,83066.1,83408.2,81934.4,82528.5,13894.239
1742169600000,82528.5,83696.8,82470.4,83630.2,9056.15
1742184000000,83630.2,83836.2,82642.9,83519.1,10517.816
1742198400000,83519.1,83749.3,83159.1,83473.9,8807.648
1742212800000,83473.9,83999.9,82400.7,83497.5,32487.013
1742227200000,83497.5,84728.5,83079.0,84433.4,17108.44
1742241600000,84433.4,84462.7,83686.2,83955.1,7328.086
1742256000000,83955.1,83975.1,82905.8,83100.5,9686.714
1742270400000,83100.5,83278.3,82200.1,83117.7,14579.67
1742284800000,83117.7,83421.3,82471.5,82546.1,8681.259
