ts,date,direction,status,rr_ratio,pnl_pct,pnl_usd,fee_usd,balance,pos_size_usd,leverage,reasoning
1768197600000.0,2026-01-12 06:00,SHORT,CANCELLED,2.9,0.0,0.0,0.0,10000.0,8664.0,0.9,"ГЛАВНЫЙ: Диагональ (1h). Рассмотрено параллельно: Двойной Зигзаг (W-X-Y)(4h), Диагональ(1h), Двойной Зигзаг (W-X-Y)(1d), Двойной Зигзаг (W-X-Y)(1h). А..."
1768201200000.0,2026-01-12 07:00,SHORT,CANCELLED,2.9,0.0,0.0,0.0,10000.0,8664.0,0.9,"ГЛАВНЫЙ: Диагональ (1h). Рассмотрено параллельно: Двойной Зигзаг (W-X-Y)(4h), Диагональ(1h), Двойной Зигзаг (W-X-Y)(1d), Двойной Зигзаг (W-X-Y)(1h). А..."
1768204800000.0,2026-01-12 08:00,SHORT,CANCELLED,2.9,0.0,0.0,0.0,10000.0,8664.0,0.9,"ГЛАВНЫЙ: Диагональ (1h). Рассмотрено параллельно: Двойной Зигзаг (W-X-Y)(4h), Диагональ(1h), Двойной Зигзаг (W-X-Y)(1d), Двойной Зигзаг (W-X-Y)(1h). А..."
1768208400000.0,2026-01-12 09:00,SHORT,LOSS,2.9,-1.1542,-117.33,17.33,9882.67,8664.0,0.9,"ГЛАВНЫЙ: Диагональ (1h). Рассмотрено параллельно: Двойной Зигзаг (W-X-Y)(4h), Двойной Зигзаг (W-X-Y)(4h), Диагональ(1h), Двойной Зигзаг (W-X-Y)(1d). А..."
1768755600000.0,2026-01-18 17:00,SHORT,CANCELLED,3.1,0.0,0.0,0.0,9882.67,18494.0,1.9,"ГЛАВНЫЙ: Диагональ (1h). Рассмотрено параллельно: Двойной Зигзаг (W-X-Y)(1d), Диагональ(1h), Диагональ(15m), Двойной Зигзаг (W-X-Y)(1d). Альтернатива:..."
1768759200000.0,2026-01-18 18:00,SHORT,CANCELLED,3.1,0.0,0.0,0.0,9882.67,18494.0,1.9,"ГЛАВНЫЙ: Диагональ (1h). Рассмотрено параллельно: Двойной Зигзаг (W-X-Y)(1d), Диагональ(1h), Диагональ(15m), Двойной Зигзаг (W-X-Y)(1d). Альтернатива:..."
1768762800000.0,2026-01-18 19:00,SHORT,CANCELLED,3.1,0.0,0.0,0.0,9882.67,18494.0,1.9,"ГЛАВНЫЙ: Диагональ (1h). Рассмотрено параллельно: Двойной Зигзаг (W-X-Y)(1d), Диагональ(1h), Диагональ(15m), Двойной Зигзаг (W-X-Y)(1d). Альтернатива:..."
1768766400000.0,2026-01-18 20:00,SHORT,CANCELLED,3.1,0.0,0.0,0.0,9882.67,18494.0,1.9,"ГЛАВНЫЙ: Диагональ (1h). Рассмотрено параллельно: Двойной Зигзаг (W-X-Y)(1d), Диагональ(1h), Диагональ(15m), Двойной Зигзаг (W-X-Y)(1d). Альтернатива:..."
1768770000000.0,2026-01-18 21:00,SHORT,CANCELLED,3.1,0.0,0.0,0.0,9882.67,18494.0,1.9,"ГЛАВНЫЙ: Диагональ (1h). Рассмотрено параллельно: Двойной Зигзаг (W-X-Y)(1d), Диагональ(1h), Диагональ(15m), Двойной Зигзаг (W-X-Y)(1d). Альтернатива:..."
1768773600000.0,2026-01-18 22:00,SHORT,CANCELLED,3.1,0.0,0.0,0.0,9882.67,18494.0,1.9,"ГЛАВНЫЙ: Диагональ (1h). Рассмотрено параллельно: Двойной Зигзаг (W-X-Y)(1d), Диагональ(1h), Диагональ(15m), Двойной Зигзаг (W-X-Y)(1d). Альтернатива:..."
1768777200000.0,2026-01-18 23:00,SHORT,CANCELLED,3.1,0.0,0.0,0.0,9882.67,18494.0,1.9,"ГЛАВНЫЙ: Диагональ (1h). Рассмотрено параллельно: Двойной Зигзаг (W-X-Y)(1d), Диагональ(1h), Диагональ(15m), Двойной Зигзаг (W-X-Y)(1d). Альтернатива:..."
1768780800000.0,2026-01-19 00:00,SHORT,EXPIRED,3.1,0.0,0.0,0.0,9882.67,18494.0,1.9,"ГЛАВНЫЙ: Диагональ (1h). Рассмотрено параллельно: Двойной Зигзаг (W-X-Y)(1d), Диагональ(1h), Диагональ(15m), Двойной Зигзаг (W-X-Y)(1d). Альтернатива:..."
1769842800000.0,2026-01-31 07:00,LONG,CANCELLED,7.52,0.0,0.0,0.0,9882.67,9127.0,0.9,"ГЛАВНЫЙ: Диагональ (5m). Рассмотрено параллельно: Диагональ(1d), Двойной Зигзаг (W-X-Y)(15m), Зигзаг(5m), Диагональ(4h). Альтернатива: Двойной Зигзаг ..."
1771326000000.0,2026-02-17 11:00,SHORT,LOSS,6.79,-0.6597,-128.79,29.96,9753.88,14981.0,1.5,"ГЛАВНЫЙ: Диагональ (15m). Рассмотрено параллельно: Двойной Зигзаг (W-X-Y)(1h), Диагональ(15m), Диагональ(5m), Зигзаг(1h). Альтернатива: Диагональ БЫЧИ..."
